百佳,九龍城,翠竹花園,九龍黃大仙翠竹花園商場408鋪,0800 - 2100,2329 5037,22.342962,114.192981,九龍
百佳,九龍城,慈正?,九龍慈雲山慈正?慈正二期慈正商場地下1號鋪,0800 - 2230,2321 9734,,,九龍
百佳,九龍城,偉恒昌,九龍土瓜灣美景街108號偉恒昌新恒景閣地下,0800 - 2230,2363 7913,22.317884,114.192167,九龍
百佳,九龍城,慈雲山中心,九龍慈雲山毓華街23號慈雲山中心1樓108號鋪,0700 - 2230,2194 7836,22.348217,114.200536,九龍
百佳,九龍城,馬頭角同南工業大廈,九龍馬頭角道40號同南工業大廈地下,0800 - 2230,2760 1522,,,九龍
百佳,九龍城,東頭?,九龍黃大仙東頭?第23座康東樓13-18號,0800 - 2200,2718 4071,,,九龍
百佳,九龍城,宏暉中心,九龍橫頭磡富美街橫頭磡?宏暉中心地下1號鋪,0800 - 2200,3165 1431,22.340641,114.186634,九龍
百佳,九龍城,黃大仙中心,九龍黃大仙黃大仙中心地庫B01號鋪,0800 - 2200,2320 8457,22.341391,114.19428,九龍
百佳,九龍城,馬坑涌中華大廈,九龍土瓜灣馬坑涌道3A-3C號中華大廈地下2至3 號鋪,0800 - 2230,2712 1899,22.319978,114.188462,九龍
百佳,九龍城,爵祿街,九龍新蒲崗爵錄街86號，康強街28號一樓B鋪.,0800 - 2200,2763 1200,,,九龍
百佳,九龍城,宏德居,香港柴灣道341-343號宏德居B座商場一樓,0800 - 2200,2563 6255,22.264087,114.239676,九龍
百佳,九龍城,黃埔花園第十二期,九龍紅磡黃埔花園第十二期新天地家居庭地庫2號,0800 - 2230,2365 7472,22.3039,114.1922,九龍
百佳,九龍城,黃埔花園第三期,九龍紅磡黃埔花園第3期地下26號鋪,0730 - 2230,2334 1254,22.3039,114.1922,九龍
百佳,大角咀,新九龍廣場,九龍大角咀新九龍廣場2樓105-126室,0800 - 2200,2398 2648,22.31965,114.162554,九龍
百佳,油塘,油麗商場,九龍油塘油塘道 9 號 油麗商場地下一號鋪,0800 - 2200,2412 7233,22.301285,114.236229,九龍
百佳,油尖旺,柯士甸道好兆年行,九龍尖沙咀柯士甸道好兆年行低層地下,0800 - 2200,2723 8107,22.303057,114.175152,九龍
百佳,油尖旺,渡船街富利來商場,九龍油麻地渡船街32-36號富利來商業大廈地下,0830 - 2200,2782 3104,22.307549,114.167637,九龍
百佳,油尖旺,別樹一居,九龍旺角太子道西171號別樹一居1樓,0800 - 2300,2994 0082,22.323949,114.169325,九龍
百佳,油尖旺,弼街,九龍旺角荔枝角道1號嘉業大廈地下F-G號鋪,0800 - 0000,2397 1164,22.322155,114.168463,九龍
百佳,油尖旺,富運商業大廈,九龍油麻地彌敦道573號富運商業中心地下,0800 - 2300,2332 1049,22.31486,114.170031,九龍
百佳,油尖旺,金雞廣場,九龍旺角洗衣街39-55號金雞廣場地下及1B地庫,0800 - 2400,2783 7846,22.318361,114.17173,九龍
百佳,油尖旺,勝利道康強大廈,九龍旺角勝利道14-14A號 康強大廈地下,0800 - 2200,2760 1969,22.319053,114.174832,九龍
百佳,油尖旺,佐敦薈,九龍彌敦道 233 號佐敦薈地庫,0800 - 2300,2735 8020,22.304906,114.171351,九龍
百佳,油尖旺,"廣東道, 金華大廈",九龍油麻地廣東道831號金華大廈F及G座地下,0800 - 2200,2750 2898,22.313149,114.168196,九龍
百佳,油尖旺,彌敦道健峰保險大廈,九龍旺角彌敦道789-793號健峰保險大廈地庫全層,0800 - 2230,2395 3811,22.325942,114.167756,九龍
百佳,油尖旺,怡安閣,九龍亞皆老街 124C-D 怡安閣15-16 地下,0800 - 2200,2713 2264,22.320286,114.176077,九龍
百佳,深水?,元州街東蘭閣,九龍深水?元州街280-288號東蘭閣A座,0830 - 2230,2708 9409,22.335598,114.159523,九龍
百佳,深水?,幸福?,九龍長沙灣幸福?幸福商場107號鋪,0830 - 2130,2361 8965,,,九龍
百佳,深水?,富昌?,九龍深水?西?路富昌商場地下1號鋪,0800 - 2230,2708 3051,,,九龍
百佳,深水?,海祥大廈,九龍大埔道72-74 號海祥大廈地下B 室,0800 - 2200,2779 2801,22.328965,114.166932,九龍
百佳,深水?,海麗?,九龍荔枝角海麗商場一樓106號鋪,0800 - 2200,3543 0524,,,九龍
百佳,深水?,順寧道日輝大廈,九龍長沙灣順寧道273號日輝大廈地下9-10號鋪,0830 - 2230,2708 4063,22.337319,114.158472,九龍
百佳,深水?,大同新?大公樓,九龍大角咀道107-127號大同新?大公樓地下4 號鋪,0800 - 2200,2576 7067,,,九龍
百佳,深水?,欽洲街永勝大廈,九龍深水?欽洲街116號永勝大廈G/F,0800 - 2230,2720 2364,,,九龍
百佳,深水?,偉智里金玉大廈,九龍深水?偉智里2號金玉大廈230號地庫全層,0800 - 2200,2798 6268,22.334579,114.167013,九龍
百佳,美孚,美孚新?,九龍美孚新?第七期地下N50 B鋪,0730 - 2230,2741 6578,22.337668,114.138383,九龍
百佳,美孚,美孚廣場,九龍美孚新?百老匯街69-119號第四期商場一樓,0800 - 2200,2742 2023,22.336414,114.141827,九龍
百佳,?枝角,?枝角,九龍?枝角道288號地下,0800 - 2200,2720 0631,22.327867,114.161573,九龍
百佳,荔枝角,盈暉家居城,九龍荔枝角景?徑8號盈暉臺盈暉家居城2樓,0830 - 2200,2274 7805,22.341795,114.137922,九龍
百佳,藍田,康田苑,"九龍藍田康田苑35, 37, 39, 41及43號鋪",0800 - 2200,2349 3548,,,九龍
百佳,藍田,德田商場,九龍藍田德田商場107號,0800 - 2200,2772 5642,,,九龍
百佳,藍田,匯景廣場,九龍藍田匯景廣場4樓401號,0800 - 2230,3151 7228,22.307019,114.233491,九龍
百佳,觀塘,其士商業中心,九龍九龍灣宏開道8號其士商業中心地下1-4號鋪,星期一至五  0730 - 2100星期六  0730 - 2000 星期日及公眾假期  0900 - 1900,3520 4186,22.321373,114.211286,九龍
百佳,觀塘,彩德?,九龍牛頭角彩德?彩德商場6樓601號鋪,0800 - 2200,2940 4209,22.322466,114.216759,九龍
百佳,觀塘,彩雲?,九龍牛池灣清水灣道45號彩雲?彩雲商場二期3樓A301-302號商鋪,0800 - 2200,2711 2238,22.333172,114.214334,九龍
百佳,觀塘,彩盈?,九龍牛頭角彩盈?彩盈坊2號鋪,0800 - 2200,2641 2675,,,九龍
百佳,觀塘,曉麗苑,九龍官塘秀茂坪曉麗苑曉麗商場233鋪,0800 - 2230,3526 0214,22.320858,114.229424,九龍
百佳,觀塘,樂華?,九龍牛頭角樂華北?樂華商場地下42號鋪,0800 - 2200,2756 4600,,,九龍
百佳,觀塘,麗晶花園,九龍九龍灣宏光道80號麗晶商場2樓218號鋪,0800 - 2200,2885 3192,22.330345,114.205814,九龍
百佳,觀塘,瑞和街,九龍官塘瑞和街42號地下,0700 - 2100,2343 0200,,,九龍
百佳,觀塘,順利?,九龍官塘順利?利康樓地下,0730 - 2230,2793 0486,22.330581,114.226107,九龍
百佳,觀塘,寶達商場,九龍秀茂坪寶達商場一樓116號鋪,0800 - 2200,2190 4163,,,九龍
百佳,鑽石山,荷李活廣場,九龍鑽石山荷李活廣場227A至227B,0800 - 2230,2955 9215,22.343873,114.20487,九龍
百佳,黃大仙,啟德花園,九龍黃大仙啟德花園二期地下28 號鋪,0730 - 2200,2997 8206,,,九龍
百佳,黃大仙,天馬苑,九龍黃大仙天馬苑商場F9號鋪,0800 - 2200,2351 0122,22.342868,114.186692,九龍
百佳, 將軍澳,新都城,新界將軍澳欣景路8號新都城第二期平台36-57鋪,0700 - 2300,3194 3690,22.323195,114.258186,新界
百佳, 將軍澳,都會?,新界將軍澳都會?2樓L2-S01及046-047號鋪,0800 - 2230,3543 5012,22.311936,114.256878,新界
百佳, 將軍澳,尚德?,新界 將軍澳 唐明街2號 尚德? 尚德商場 3樓 301號鋪,0800 - 2200,2715 1628,22.310416,114.256385,新界
百佳,元朗,金馬大廈,"新界元朗鳳翔路金馬大廈地下6-8, 16-26號",0800 - 2200,2477 1324,22.442495,114.03246,新界
百佳,元朗,好順福商場,新界元朗壽富街好順福商場地下95-96號鋪,0800 - 2200,3193 4710,22.445057,114.027199,新界
百佳,元朗,嘉湖山莊1期,新界天水圍嘉湖山莊1期商場地下1號,0800 - 2230,2445 1286,22.460642,114.0042,新界
百佳,元朗,御庭居,新界元朗馬田路80號御庭居地下 9-12 及 15-19 鋪,0800 - 2200,3147 0378,22.440604,114.02196,新界
百佳,元朗,天瑞商場,新界天水圍天瑞路9號天瑞商場2樓L101號鋪,0800 - 2200,2616 0228,22.456256,113.998406,新界
百佳,元朗,天耀商場,新界天水圍天湖路天耀?天耀商場1樓L109 及L110商鋪,0800 - 2200,2411 1366,22.452092,114.001674,新界
百佳,元朗,元朗廣場,元朗廣場3樓341-384號鋪,0800 - 2200,3158 0324,22.444364,114.024086,新界
百佳,元朗,頌富商場,新界天水圍天華路33號天富苑頌富廣場第2期2樓240-242號鋪,0800 - 2230,2486 4242,22.462461,113.997919,新界
百佳,元朗,嘉湖銀座,新界天水圍天恩路 12-18 號 嘉湖銀座置富嘉湖第1期2樓220號鋪,0800 - 2230,2617 0491,22.457015,114.004107,新界
百佳,北區,祥華?,新界粉嶺祥華?商場地下101號,0800 - 2200,2669 7988,22.491737,114.138477,新界
百佳,北區,清河?,新界上水清河?清河商場16號鋪,0800 - 2200,2672 0964,,,新界
百佳,北區,花都廣場,"新界粉嶺花都廣場商場地下5-12, 35-44號",0800 - 2200,2682 5801,,,新界
百佳,北區,天平?,新界上水天平?商場地下101號,0800 - 2200,2679 7884,22.503372,114.133632,新界
百佳,北區,綠悠軒,新界 粉嶺 馬適路3號 綠悠軒第3座1樓1-11號鋪,0900 - 2130,2947 9476,22.501452,114.145761,新界
百佳,北區,彩園廣場,新界上水彩園?彩園廣場地下G2號鋪,0800 - 2200,3124 0399,22.511201,114.126099,新界
百佳,北區,粉嶺名都,新界粉嶺 粉嶺車站路18號 粉嶺名都地下11-15號,0800 - 2200,2676 4972,22.492709,114.139395,新界
百佳,大埔,富亨?,新界大埔富亨?商場地下7號,0800 - 2200,2661 7101,22.442328,114.165521,新界
百佳,大埔,清泉雅居,新界大埔翠樂街6號清泉雅居地下9號,0900 - 2200,2664 7396,22.452609,114.164243,新界
百佳,大埔,大榮里,新界大埔大榮里16-22號歡樂樓地下,0800 - 2200,2651 2544,22.447366,114.16654,新界
百佳,大埔,新達廣埸,新界大埔新達廣場2樓131-140號,0800 - 2200,2656 0056,22.443385,114.169194,新界
百佳,大埔,大埔中心,"新界大埔中心商場1樓614-669, 673-678號",0800 - 2230,2660 7532,22.501118,114.141562,新界
百佳,大埔,太和?,新界大埔啟和路太和?太和商場1期2樓101號鋪,0800 - 2200,2651 1183,,,新界
百佳,將軍澳,景林?,新界將軍澳景林?景林商場42號地下,0800 - 2200,2703 6010,,,新界
百佳,將軍澳,明德?,新界將軍澳明德?明德商場16號地鋪,0800 - 2200,2623 6905,,,新界
百佳,將軍澳,寶琳?,新界將軍澳寶琳?寶琳商場地下101號地下,0800 - 2200,2701 4870,22.322511,114.257832,新界
百佳,將軍澳,翠林?,新界將軍澳翠林?翠林商場1樓132鋪,0800 - 2200,2702 0231,,,新界
百佳,將軍澳,茵怡花園,新界將軍澳貿泰路 8 號茵怡花園第1座地下5 號鋪,0900 - 2100,2715 5066,22.321592,114.256117,新界
